"","Lon","Lat","Matchup_Lon_Lower","Matchup_Lon_Upper","Matchup_Lat_Lower","Matchup_Lat_Upper","Chlor_a"
"359",199.875,16.225,199.775,199.975,16.125,199.975,0.0619289463178979
"360",199.775,16.275,199.675,199.875,16.175,199.875,0.0637930902838707
"361",199.675,16.3,199.575,199.775,16.2,199.775,0.0648834038939741
"362",199.65,16.325,199.55,199.75,16.225,199.75,0.0647122491151094
"363",199.65,16.3,199.55,199.75,16.2,199.75,0.0652393172184626
"364",199.625,16.3,199.525,199.725,16.2,199.725,0.0648976237409645
"365",199.6,16.275,199.5,199.7,16.175,199.7,0.0642601446559032
"366",199.6,16.15,199.5,199.7,16.05,199.7,0.065496214479208
"367",199.35,16.325,199.25,199.45,16.225,199.45,0.0622429476223058
"368",199.275,16.375,199.175,199.375,16.275,199.375,0.0617445081472397
"369",199.225,16.375,199.125,199.325,16.275,199.325,0.0603471043416195
"370",199.05,16.425,198.95,199.15,16.325,199.15,0.0573736511998706
"371",198.9,16.5,198.8,199,16.4,199,0.0563343523691098
"372",198.9,16.5,198.8,199,16.4,199,0.0563343523691098
"373",198.875,16.4,198.775,198.975,16.3,198.975,0.0570423360913992
"374",198.875,16.4,198.775,198.975,16.3,198.975,0.0570423360913992
"375",198.85,16.375,198.75,198.95,16.275,198.95,0.0571156622221073
"376",198.65,16.375,198.55,198.75,16.275,198.75,0.0588083474586407
"377",198.35,16.325,198.25,198.45,16.225,198.45,0.0596805713656876
"378",198.175,16.425,198.075,198.275,16.325,198.275,0.060631882916722
"379",198.2,16.4,198.1,198.3,16.3,198.3,0.0606298128763835
"380",198.35,16.35,198.25,198.45,16.25,198.45,0.0596805713656876
"381",198.425,16.375,198.325,198.525,16.275,198.525,0.0591393603632847
"382",198.425,16.375,198.325,198.525,16.275,198.525,0.0591393603632847
"383",198.55,16.375,198.45,198.65,16.275,198.65,0.0590802539760868
"384",198.6,16.375,198.5,198.7,16.275,198.7,0.0591084950913986
"385",198.6,16.375,198.5,198.7,16.275,198.7,0.0591084950913986
"386",198.575,16.4,198.475,198.675,16.3,198.675,0.0593271516263485
"387",198.575,16.425,198.475,198.675,16.325,198.675,0.0593933354442318
